Type,Interactions,Allergies,Review,Use,Drug,Indication,AvoidUse,Sides,Condition
 rx,"Before using this medication, tell your doctor or pharmacist of all prescription and nonprescription/herbal products you may use.", ,1  User Reviews        ,Retapamulin  is used to treat a certain  skin  infection ( impetigo ) caused by bacteria. It is an antibiotic that works by stopping the growth of certain bacteria (Staphylococcus and  Streptococcus ) on the skin.,retapamulin topical, label,Skin Irritation,"Mild burning, stinging, or  itching  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Impetigo
 rx,"Before using this medication, tell your doctor or pharmacist of all prescription and nonprescription/herbal products you may use.", ,28  User Reviews        ,Retapamulin  is used to treat a certain  skin  infection ( impetigo ) caused by bacteria. It is an antibiotic that works by stopping the growth of certain bacteria (Staphylococcus and  Streptococcus ) on the skin.,Altabax topical, label,Skin Irritation,"Mild burning, stinging, or  itching  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Impetigo
 rx,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",FIBRATE ANTI-LIPIDEMICS,Be the first to review it,"Fenofibric acid is used along with a proper diet to help lower ""bad""  cholesterol  and fats (such as  LDL ,  triglycerides ) and raise ""good""  cholesterol  (HDL) in the  blood . It works by increasing the natural substance (enzyme) that breaks down fats in the  blood . Fenofibric acid belongs to a group of drugs known as ""fibrates."" Lowering  triglycerides  in people with very high  triglyceride  blood levels may decrease the risk of  pancreas  disease ( pancreatitis ). However, fenofibric acid might not lower your risk of a  heart attack  or  stroke . Talk to your doctor about the risks and benefits of fenofibric acid.",Fibricor oral, label,"Muscle Problems, Obstruction of a Blood Vessel by a Blood Clot, Liver Problems, Disease of the Gallbladder, Acute Inflammation of the Pancreas, End-Stage Renal Disease, Severe Renal Impairment, Mild to Moderate Kidney Impairment, Serious Muscle Damage that may Lead to Kidney Failure, Muscle Inflammation, Abnormal Liver Function Tests, A Mother who is Producing Milk and Breastfeeding, Rare Progressive Liver Disease - Primary Biliary Cirrhosis, Anemia, Decreased Blood Platelets, Deficiency of Granulocytes a Type of White Blood Cell, Decreased White Blood Cells",Remember that your doctor has prescribed this medication because he or she has judged that the benefit to you is greater than the risk of side effects. Many people using this medication do not have serious side effects.,High cholesterol (Hypercholesterolemia)
 rx,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",FIBRATE ANTI-LIPIDEMICS,1  User Reviews        ,"Fenofibric acid is used along with a proper diet to help lower ""bad""  cholesterol  and fats (such as  LDL ,  triglycerides ) and raise ""good""  cholesterol  (HDL) in the  blood . It works by increasing the natural substance (enzyme) that breaks down fats in the  blood . Fenofibric acid belongs to a group of drugs known as ""fibrates."" Lowering  triglycerides  in people with very high  triglyceride  blood levels may decrease the risk of  pancreas  disease ( pancreatitis ). However, fenofibric acid might not lower your risk of a  heart attack  or  stroke . Talk to your doctor about the risks and benefits of fenofibric acid.",fenofibric acid (choline) oral, label,"Muscle Problems, Obstruction of a Blood Vessel by a Blood Clot, Liver Problems, Disease of the Gallbladder, Acute Inflammation of the Pancreas, End-Stage Renal Disease, Severe Renal Impairment, Mild to Moderate Kidney Impairment, Serious Muscle Damage that may Lead to Kidney Failure, Muscle Inflammation, Abnormal Liver Function Tests, A Mother who is Producing Milk and Breastfeeding, Rare Progressive Liver Disease - Primary Biliary Cirrhosis, Anemia, Decreased Blood Platelets, Deficiency of Granulocytes a Type of White Blood Cell, Decreased White Blood Cells",Remember that your doctor has prescribed this medication because he or she has judged that the benefit to you is greater than the risk of side effects. Many people using this medication do not have serious side effects.,High cholesterol (Hypercholesterolemia)
 rx,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",OXYBENZONE(BENZOPHENONE 3)  FIBRATE ANTI-LIPIDEMICS,2  User Reviews        ,"Fenofibrate  is used along with a proper diet to help lower ""bad""  cholesterol  and fats (such as  LDL ,  triglycerides ) and raise ""good""  cholesterol  (HDL) in the  blood . It works by increasing the natural substance (enzyme) that breaks down fats in the  blood . Fenofibrate belongs to a group of drugs known as ""fibrates."" Lowering  triglycerides  in people with very high  triglyceride  blood levels may decrease the risk of  pancreas  disease ( pancreatitis ). However, fenofibrate might not lower your risk of a  heart attack  or  stroke . Talk to your doctor about the risks and benefits of fenofibrate.",fenofibrate nanocrystallized oral, label,"Muscle Problems, Obstruction of a Blood Vessel by a Blood Clot, Liver Problems, Disease of the Gallbladder, Acute Inflammation of the Pancreas, End-Stage Renal Disease, Severe Renal Impairment, Mild to Moderate Kidney Impairment, Serious Muscle Damage that may Lead to Kidney Failure, Muscle Inflammation, Abnormal Liver Function Tests, A Mother who is Producing Milk and Breastfeeding, Rare Progressive Liver Disease - Primary Biliary Cirrhosis, Anemia, Decreased Blood Platelets, Deficiency of Granulocytes a Type of White Blood Cell, Decreased White Blood Cells",Remember that your doctor has prescribed this medication because he or she has judged that the benefit to you is greater than the risk of side effects. Many people using this medication do not have serious side effects.,High cholesterol (Hypercholesterolemia)
 rx,"The effects of some drugs can change if you take other drugs or herbal products at the same time. This can increase your risk for serious side effects or may cause your medications not to work correctly. These  drug interactions  are possible, but do not always occur. Your doctor or pharmacist can often prevent or manage interactions by changing how you use your medications or by close monitoring.",ANION EXCHANGE RESINS,2  User Reviews        ,Colestipol  is used along with a proper diet to  lower cholesterol  in the  blood .  Lowering cholesterol  helps decrease the risk for strokes and  heart attacks .,Colestid Flavored oral, label,"Hyperchloremic Acidosis, Incomplete or Infrequent Bowel Movements, Gallstones","Constipation ,  stomach / abdominal pain , gas,  nausea , and  vomiting  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",High cholesterol (Hypercholesterolemia)
 rx,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",STATINS-HMG-COA REDUCTASE INHIBITORS,3  User Reviews        ,"Pitavastatin is used along with a proper diet to help lower ""bad""  cholesterol  and fats (such as  LDL ,  triglycerides ) and raise ""good""  cholesterol  (HDL) in the  blood . It belongs to a group of drugs known as "" statins ."" It works by reducing the amount of  cholesterol  made by the  liver . Lowering ""bad"" cholesterol and  triglycerides  and raising ""good"" cholesterol decreases the risk of  heart disease  and helps prevent strokes and  heart attacks .",pitavastatin oral, label,"Uncontrolled Epilepsy, Metabolic Syndrome X, Muscle Damage Due to Auotimmunity, Stroke caused by Bleeding in the Brain, Severely Low Blood Pressure, Liver Problems, Serious Muscle Damage that may Lead to Kidney Failure, Recent Operation, Loss of Memory, High Blood Sugar, Abnormal Liver Function Tests, Injury, Pregnancy, A Mother who is Producing Milk and Breastfeeding, Sepsis Syndrome, Untreated Decreased Level of Thyroid Hormones, Extreme Loss of Body Water, Moderate to Severe Kidney Impairment, Muscle Pain or Tenderness with Increase Creatine Kinase",Remember that your doctor has prescribed this medication because he or she has judged that the benefit to you is greater than the risk of side effects. Many people using this medication do not have serious side effects.,High cholesterol (Hypercholesterolemia)
 rx,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",STATINS-HMG-COA REDUCTASE INHIBITORS,3  User Reviews        ,"Lovastatin  is used along with a proper diet to help lower ""bad""  cholesterol  and fats (such as  LDL ,  triglycerides ) and raise ""good""  cholesterol  (HDL) in the  blood . It belongs to a group of drugs known as "" statins ."" It works by reducing the amount of  cholesterol  made by the  liver . Lowering ""bad"" cholesterol and  triglycerides  and raising ""good"" cholesterol decreases the risk of  heart disease  and helps prevent strokes and  heart attacks .",Altoprev oral, label,"Uncontrolled Epilepsy, Metabolic Syndrome X, Muscle Damage Due to Auotimmunity, Stroke caused by Bleeding in the Brain, Severely Low Blood Pressure, Liver Problems, Severe Renal Impairment, Serious Muscle Damage that may Lead to Kidney Failure, Recent Operation, Loss of Memory, High Blood Sugar, Abnormal Liver Function Tests, Injury, Pregnancy, A Mother who is Producing Milk and Breastfeeding, Muscle Pain or Tenderness with Increase Creatine Kinase, Habit of Drinking Too Much Alcohol",Remember that your doctor has prescribed this medication because he or she has judged that the benefit to you is greater than the risk of side effects. Many people using this medication do not have serious side effects.,High cholesterol (Hypercholesterolemia)
 rx,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",OXYBENZONE(BENZOPHENONE 3)  FIBRATE ANTI-LIPIDEMICS,4  User Reviews        ,"Fenofibrate  is used along with a proper diet to help lower ""bad""  cholesterol  and fats (such as  LDL ,  triglycerides ) and raise ""good""  cholesterol  (HDL) in the  blood . It works by increasing the natural substance (enzyme) that breaks down fats in the  blood . Fenofibrate belongs to a group of drugs known as ""fibrates."" Lowering  triglycerides  in people with very high  triglyceride  blood levels may decrease the risk of  pancreas  disease ( pancreatitis ). However, fenofibrate might not lower your risk of a  heart attack  or  stroke . Talk to your doctor about the risks and benefits of fenofibrate.",Lofibra oral, label,"Muscle Problems, Obstruction of a Blood Vessel by a Blood Clot, Liver Problems, Disease of the Gallbladder, Acute Inflammation of the Pancreas, End-Stage Renal Disease, Severe Renal Impairment, Mild to Moderate Kidney Impairment, Serious Muscle Damage that may Lead to Kidney Failure, Muscle Inflammation, Abnormal Liver Function Tests, A Mother who is Producing Milk and Breastfeeding, Rare Progressive Liver Disease - Primary Biliary Cirrhosis, Anemia, Decreased Blood Platelets, Deficiency of Granulocytes a Type of White Blood Cell, Decreased White Blood Cells",Remember that your doctor has prescribed this medication because he or she has judged that the benefit to you is greater than the risk of side effects. Many people using this medication do not have serious side effects.,High cholesterol (Hypercholesterolemia)
 rx,"Other medications can affect the removal of irinotecan liposomal from your body, which may affect how irinotecan liposomal works. Examples include azole antifungals (such as itraconazole, ketoconazole), clarithromycin, gemfibrozil, nefazodone, HIV protease inhibitors (such as ritonavir, atazanavir), rifamycins (such as rifabutin), St. John's wort, drugs used to treat seizures (such as carbamazepine, phenytoin), telaprevir, among others.",CAMPTOTHECIN ANALOGUES,Be the first to review it,Irinotecan liposomal is used along with other medications to treat  cancer  of the  pancreas .,Onivyde intravenous, label,"Reduced UGT1A1 Enzyme Activity due to *28 Polymorphism, Method of Removing Waste/Poison from Blood with Dialysis, Obstruction of a Blood Vessel by a Blood Clot, Interstitial Pneumonitis, Chronic Lung Disease, Blocked Bowels with Decreased Peristaltic Movement, Liver Problems, Acute Inflammation of the Pancreas, Kidney Disease, High Amount of Bilirubin in the Blood, Diarrhea, Pregnancy, A Mother who is Producing Milk and Breastfeeding, Sepsis Syndrome, Extreme Loss of Body Water, Decreased Function of Bone Marrow, Severely Decreased Levels of Neutrophils in the Blood, Anemia, Decreased Blood Platelets",See also Warning section.,Pancreatic Cancer 
 rx,"Other medications can affect the removal of irinotecan liposomal from your body, which may affect how irinotecan liposomal works. Examples include azole antifungals (such as itraconazole, ketoconazole), clarithromycin, gemfibrozil, nefazodone, HIV protease inhibitors (such as ritonavir, atazanavir), rifamycins (such as rifabutin), St. John's wort, drugs used to treat seizures (such as carbamazepine, phenytoin), telaprevir, among others.",CAMPTOTHECIN ANALOGUES,Be the first to review it,Irinotecan liposomal is used along with other medications to treat  cancer  of the  pancreas .,irinotecan liposomal intravenous, label,"Reduced UGT1A1 Enzyme Activity due to *28 Polymorphism, Method of Removing Waste/Poison from Blood with Dialysis, Obstruction of a Blood Vessel by a Blood Clot, Interstitial Pneumonitis, Chronic Lung Disease, Blocked Bowels with Decreased Peristaltic Movement, Liver Problems, Acute Inflammation of the Pancreas, Kidney Disease, High Amount of Bilirubin in the Blood, Diarrhea, Pregnancy, A Mother who is Producing Milk and Breastfeeding, Sepsis Syndrome, Extreme Loss of Body Water, Decreased Function of Bone Marrow, Severely Decreased Levels of Neutrophils in the Blood, Anemia, Decreased Blood Platelets",See also Warning section.,Pancreatic Cancer 
 rx,"Some products that may interact with this drug include: other drugs that may decrease bone marrow function (e.g., azathioprine, trimethoprim/sulfamethoxazole).",PACLITAXEL   PACLITAXEL/DOCETAXEL,1  User Reviews        ,"This medication is used to treat certain cancers (including  breast ,  lung , and  pancreatic cancer ). Paclitaxel belongs to a class of drugs known as  chemotherapy  drugs. It works by slowing or stopping the growth of  cancer  cells.",paclitaxel-protein bound intravenous, label,"Numbness, Tingling or Pain of Hands or Feet, Heart Attack, Slow Heartbeat, Abnormal Heart Rhythm, Abnormally Low Blood Pressure, Liver Problems, High Amount of Bilirubin in the Blood, Abnormal Liver Function Tests, Pregnancy, A Mother who is Producing Milk and Breastfeeding, severe infection, Decreased Function of Bone Marrow, Severely Decreased Levels of Neutrophils in the Blood, Anemia, Decreased Blood Platelets",See also Warning section.,Pancreatic Cancer 
 rx,"Before using this medication, tell your doctor or pharmacist of all prescription and nonprescription/herbal products you may use.", ,Be the first to review it,"This  medication  is used to treat  eye  infections. This product contains  bacitracin  and  polymyxin ,  antibiotics  that work by stopping the growth of bacteria.",Polycin ophthalmic, offlabel,BACITRACIN   POLYMYXIN B  POLYMYXINS  COLISTIN,"Stinging/burning of the eyes for 1 to 2 minutes or temporary blurred  vision  may occur when this medication is applied. If any of these effects persist or worsen, notify your doctor or pharmacist promptly.",Pink Eye (Bacterial conjunctivitis)
 rx,"To help your doctor and pharmacist give you the best care, be sure to tell your doctor and pharmacist about all the products you use (including prescription drugs, nonprescription drugs, and herbal products) before starting treatment with this product. While using this product, do not start, stop, or change the dosage of any other medicines you are using without your doctor's approval.", ,5  User Reviews        ,This  medication  is used to treat  scabies .  Scabies  is a  skin  infection caused by mites that burrow into the skin. Irritation from the mites leads to severe  itching  and small bumps/ blisters  filled with fluid/pus.  Crotamiton  works by killing the mites that cause scabies. It also helps relieve  itching  related to scabies and other skin conditions. Crotamiton belongs to two classes of drugs: scabicides and antipruritics.,crotamiton topical, label,CROTAMITON,"Worsening skin irritation (such as itching, redness) may occur. If any of these effects persist or worsen, stop using this medication and tell your doctor or pharmacist promptly.",Scabies
 rx,"To help your doctor and pharmacist give you the best care, be sure to tell your doctor and pharmacist about all the products you use (including prescription drugs, nonprescription drugs, and herbal products) before starting treatment with this product. While using this product, do not start, stop, or change the dosage of any other medicines you are using without your doctor's approval.", ,8  User Reviews        ,This  medication  is used to treat  scabies .  Scabies  is a  skin  infection caused by mites that burrow into the skin. Irritation from the mites leads to severe  itching  and small bumps/ blisters  filled with fluid/pus.  Crotamiton  works by killing the mites that cause scabies. It also helps relieve  itching  related to scabies and other skin conditions. Crotamiton belongs to two classes of drugs: scabicides and antipruritics.,Eurax topical, label,CROTAMITON,"Worsening skin irritation (such as itching, redness) may occur. If any of these effects persist or worsen, stop using this medication and tell your doctor or pharmacist promptly.",Scabies
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.",ANESTHETICS - ESTER TYPE  MENTHOL CONTAIN PROD,Be the first to review it,Consult your pharmacist.,Actisep mucous membrane, label,"systemic mastocytosis, Glucose-6-Phosphate Dehydrogenase (G6PD) Deficiency, Anemia from Pyruvate Kinase and G6PD Deficiencies, Deficiency of the Blood Enzyme Cytochrome b5 Reductase, Methemoglobinemia",Consult your pharmacist.,Sore Throat
 rx,"Some products that may interact with this drug include: street drugs (such as methamphetamine, MDMA/""ecstasy"").",MODAFINIL ENTANTIOMERS,9  User Reviews        ,"Armodafinil reduces extreme sleepiness due to  narcolepsy  and other  sleep disorders , such as periods of stopped breathing during  sleep  ( obstructive sleep apnea ). It is also used to help you stay awake during work hours if you have a work schedule that keeps you from having a normal sleep routine (shift work  sleep disorder ).",armodafinil oral, label,"Depression, High Blood Pressure, Mitral Valve Prolapse Syndrome, Left Ventricular Hypertrophy, Severe Liver Disease, Behaving with Excessive Cheerfulness and Activity, Mental Disorder with Loss of Normal Personality & Reality, Having Thoughts of Suicide","Headache ,  nausea ,  dry mouth , nervousness,  dizziness , or difficulty sleeping may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Sleep Apnea
 rx,"Some products that may interact with this drug include: street drugs (such as  methamphetamine , MDMA/""ecstasy"").",MODAFINIL ENTANTIOMERS,74  User Reviews        ,"Modafinil  reduces extreme sleepiness due to  narcolepsy  and other  sleep disorders , such as periods of stopped breathing during  sleep  ( obstructive sleep apnea ). It is also used to help you stay awake during work hours if you have a work schedule that keeps you from having a normal sleep routine (shift work  sleep disorder ).",modafinil oral, label,"Depression, Aggressive Behavior, High Blood Pressure, Heart Attack, Unpredictable Severe Constricting Chest Pain, Disease of Inadequate Blood Flow to the Heart Muscle, Mitral Valve Prolapse Syndrome, Left Ventricular Hypertrophy, Severe Liver Disease, Severe Renal Impairment, Behaving with Excessive Cheerfulness and Activity, Mental Disorder with Loss of Normal Personality & Reality, Having Thoughts of Suicide","Headache ,  nausea , nervousness,  dizziness , or difficulty sleeping may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Sleep Apnea
 rx,"Some products that may interact with this drug include: street drugs (such as methamphetamine, MDMA/""ecstasy"").",MODAFINIL ENTANTIOMERS,351  User Reviews        ,"Armodafinil reduces extreme sleepiness due to  narcolepsy  and other  sleep disorders , such as periods of stopped breathing during  sleep  ( obstructive sleep apnea ). It is also used to help you stay awake during work hours if you have a work schedule that keeps you from having a normal sleep routine (shift work  sleep disorder ).",Nuvigil oral, label,"Depression, High Blood Pressure, Mitral Valve Prolapse Syndrome, Left Ventricular Hypertrophy, Severe Liver Disease, Behaving with Excessive Cheerfulness and Activity, Mental Disorder with Loss of Normal Personality & Reality, Having Thoughts of Suicide","Headache ,  nausea ,  dry mouth , nervousness,  dizziness , or difficulty sleeping may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Sleep Apnea
 rx,"Some products that may interact with this drug include: "" blood thinners "" (e.g., warfarin), live bacterial vaccines,  methotrexate , NSAIDs (e.g., aspirin,  indomethacin ), tetracyclines.",PENICILLINS   BETALACTAMS  ANESTHETICS - ESTER TYPE,Be the first to review it,This medication is used to treat a wide variety of  bacterial infections . This medication is known as a long-acting natural  penicillin  antibiotic. It works by stopping the growth of bacteria.,Bicillin C-R intramuscular, label,"Severe Renal Impairment, Clostridium difficile colitis","Pain at the injection site,  nausea , or  vomiting  may occur. If these effects persist or worsen, tell your doctor or pharmacist promptly.",Strep Throat (Pharyngitis - Streptococcus Pyogenes)
 rx,A product that may interact with this drug is:  clopidogrel .,"(DO NOT USE, NOT SCREENED) DEXTROSE  FLUCONAZOLE   ANTIFUNGAL - TRIAZOLE",Be the first to review it,Fluconazole  is an azole  antifungal  used to prevent and treat a variety of fungal infections. It works by stopping the growth of  fungus .,fluconazole in dextrose (iso-osmotic) intravenous, label,"Very Rapid Heartbeat - Torsades de Pointes, Prolonged Q-T Interval on EKG, Abnormal EKG with QT changes from Birth, Liver Problems, Pregnancy, Moderate to Severe Kidney Impairment","Nausea ,  vomiting ,  diarrhea ,  stomach / abdominal pain ,  hair loss , or  headache  may occur. If any of these effects persist or worsen, tell your doctor promptly.",Thrush (Oral Candidiasis)
 rx,A product that may interact with this drug is:  clopidogrel .,FLUCONAZOLE   ANTIFUNGAL - TRIAZOLE,2  User Reviews        ,Fluconazole  is an azole  antifungal  used to prevent and treat a variety of fungal infections. It works by stopping the growth of  fungus .,fluconazole in sodium chloride (iso-osmotic) intravenous, label,"Very Rapid Heartbeat - Torsades de Pointes, Prolonged Q-T Interval on EKG, Abnormal EKG with QT changes from Birth, Liver Problems, Pregnancy, Moderate to Severe Kidney Impairment","Nausea ,  vomiting ,  diarrhea ,  stomach / abdominal pain ,  hair loss , or  headache  may occur. If any of these effects persist or worsen, tell your doctor promptly.",Thrush (Oral Candidiasis)
 rx,"Before using this medication, tell your doctor or pharmacist of all prescription and nonprescription/herbal products you may use, especially of: rifamycins (e.g.,  rifampin ),  tacrolimus .", ,23  User Reviews        ,"Clotrimazole  lozenge is only approved for the treatment of fungal infections of the  mouth  or throat. It may also be used to prevent these infections in patients receiving treatments that may weaken the body's immune system (e.g.,  chemotherapy ). Clotrimazole is known as an azole  antifungal  agent. It works by stopping the growth of  fungus .",clotrimazole mucous membrane, label,ANTIFUNGAL - IMIDAZOLE,"Nausea ,  vomiting , mild  itching , or an unpleasant sensation in the mouth may occur. If any of these effects persist or worsen, notify your doctor or pharmacist promptly.",Thrush (Oral Candidiasis)
 rx,"Some products that may interact with this drug are: drugs that decrease stomach acid (such as antacids, H2 blockers such as ranitidine).",CEPHALOSPORINS   BETALACTAMS,1  User Reviews        ,Cefditoren  is used to treat a wide variety of  bacterial infections . This  medication  belongs to a class of drugs known as cephalosporin  antibiotics . It works by stopping the growth of bacteria.,cefditoren pivoxil oral, label,"Clostridium difficile colitis, Carnitine Deficiency, Moderate to Severe Kidney Impairment, Decrease in the Blood-Clotting Protein Prothrombin","Diarrhea ,  nausea ,  vomiting , or  headache  may occur. If any of these effects last or get worse, tell your doctor or pharmacist promptly.",Strep Throat (Pharyngitis - Streptococcus Pyogenes)
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,Be the first to review it,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Geri-Dryl oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,Be the first to review it,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Nighttime Allergy Relief oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products need stomach acid so that the body can absorb them properly. Famotidine decreases stomach acid, so it may change how well these products work. Some affected products include atazanavir, dasatinib, delavirdine, certain azole antifungals (such as itraconazole, ketoconazole), pazopanib, among others.",HISTAMINE H2 INHIBITORS,Be the first to review it,"Famotidine  is used to treat ulcers of the  stomach  and  intestines  and to prevent intestinal ulcers from coming back after they have healed. This  medication  is also used to treat certain  stomach  and throat ( esophagus ) problems (such as erosive  esophagitis , gastroesophageal reflux disease- GERD ,  Zollinger -Ellison syndrome). It works by decreasing the amount of acid your stomach makes. It relieves symptoms such as  cough  that doesn't go away,  stomach pain ,  heartburn , and difficulty swallowing. Famotidine belongs to a class of drugs known as H2 blockers.",Heartburn Relief (famotidine) oral, label,"Liver Problems, Stomach Cancer, Moderate to Severe Kidney Impairment","Headache ,  constipation , or  diarrhea  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Acid Reflux (GERD-Gastroesophageal Reflux Disease)
 otc,"Drug interactions  may change how your medications work or increase your risk for serious side effects. This document does not contain all possible  drug interactions . Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",ACETAMINOPHEN,Be the first to review it,"This drug is used to treat mild to moderate pain (from  headaches , menstrual periods,  toothaches , backaches,  osteoarthritis , or cold/ flu  aches and pains) and to reduce fever.",Jr. Acetaminophen oral, label,"Acute Liver Failure, Liver Problems, Severe Renal Impairment, Shock, Overdose of the Drug Acetaminophen, Acute Inflammation of the Liver due to Hepatitis C Virus, Poor Nutrition",See also Warning section.,Back pain
 rx,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",TETRACYCLINES,Be the first to review it,"This  medication  is used to treat a wide variety of  bacterial infections , including those that  cause acne . This medication is also used to prevent  malaria . This medication is known as a  tetracycline  antibiotic. It works by stopping the growth of bacteria.",Targadox oral, label,"Myasthenia Gravis, Clostridium difficile colitis, Pregnancy, High Pressure Within the Skull, Problems with Food Passing Through the Esophagus","Stomach upset,  diarrhea ,  nausea , or  vomiting  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Bladder Infection (Urinary Tract Infection)
 rx,"Some products that may interact with this drug include: aliskiren, cisplatin, cisapride, digoxin, ethacrynic acid, lithium.",FUROSEMIDE   LOOP DIURETICS,Be the first to review it,"This  medication  is known as a  diuretic  (like a ""water pill""). It helps your body get rid of extra water by increasing the amount of urine you make. Getting rid of extra water decreases the strain on your  heart  and  blood  vessels, thereby lowering  high blood pressure  and reducing your risk of strokes,  heart attacks , and  kidney  problems. This effect can also improve symptoms such as  trouble breathing  and swelling ( edema ). This injectable form of  furosemide  is used when the drug cannot be taken by  mouth , especially in patients with severe medical conditions.",furosemide in 0.9 % sod.chloride intravenous, label,"Absence of Urine Formation, Low Amount of Protein in the Blood, Pancreatitis, Hearing Problem, Heart Attack, Blood Pressure Drop Upon Standing, Abnormally Low Blood Pressure, Blockage of Urinary Bladder, Enlarged Prostate, Systemic Lupus Erythematosus, Blood Circulation Failure due to Serious Heart Condition, High Amount of Uric Acid in the Blood, Azotemia, Decreased Blood Volume, Acid Base Imbalance of the Blood Toward the Basic Side, Diabetes, Gout, Low Amount of Magnesium in the Blood, Low Amount of Calcium in the Blood, Low Amount of Sodium in the Blood, Low Amount of Potassium in the Blood, Low Amount of Chloride in the Blood","Dizziness , lightheadedness,  headache , blurred  vision , loss of appetite,  stomach  upset,  diarrhea , or  constipation  may occur. If any of these effects persist or worsen, notify your doctor or pharmacist promptly.",Edema
