Type,HowtoUse,Interactions,URL,Allergies,Review,Use,Drug,Indication,Precautions,AvoidUse,Sides,Condition
 otc,,,,,1  User Reviews        ,,"ferrous sulfate, dried oral", label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,High Potency Iron oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,1  User Reviews        ,,Feosol Bifera oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,Myferon 150 Forte oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,ferrous fumarate-folic acid oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,iron polysacch complex-B12-FA oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rxotc,,,,,Be the first to review it,,iron-vit C-vit B12-folic acid oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,iron heme polypep-folic acid oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,"iron bisgly,polysac cplex-vits C-B12-folic acid-calcium oral", offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,"iron asp.gly,fum-vit C-folic acid-mv #11-calcium oral", offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,iron-FA-vitB12-vit C-docusate sod oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,"iron fumarate,polysach complex-folic acid-vit C-niacin oral", offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Ferractiv oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,iron-folic acid-vitamin B cplx with C #12-succinic acid oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,iron-folic acid-C-B12-biotin oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rxotc,,,,,Be the first to review it,,"iron,carbonyl-folic acid-multivit with min oral", offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,"iron,carbonyl-FA no.6-multivit w-min no.40 oral", offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,"iron,carbonyl-FA no.6-multivit w-min no.41 oral", offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,"iron, carb-vit C-B12-B6-E-folic acid-IF-senna leaf oral", offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,"iron,carbonyl-FA-vit C-E-B12-biotin-copper-DSS oral", offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Abatron AF oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Iro-Plex (iron carbonyl) oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,iron ps-folic acid-vit B complex #16-mag-zinc oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Abatron oral, offlabel,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Ferretts oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Fer-In-Sol oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Siderol oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Iron with Stool Softener oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,Be the first to review it,,B complex-Fe ammon cit-FA oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,ferrous fumarate-vitamin C oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,iron-vitamin C oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,iron heme polypeptide oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Ferate oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Iron High Potency oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Ferrocite oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,"iron, carbonyl oral", label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,iron succinyl-protein complex oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Iron Chews oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,iron asp.gly. and ps complex-vit C-succinic acid oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,iron polysaccharide complex-iron heme polypeptide oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Wee Care oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,2541  User Reviews        ,,prednisone oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,iron fumarate and polysach complex-vit C-niacinamide oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,835  User Reviews        ,,meloxicam oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,Ferro-Time oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,726  User Reviews        ,,Celebrex oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,iron bis-gly-FA-C-B12-Ca thr-succ oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,724  User Reviews        ,,Mobic oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,IronUp oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,715  User Reviews        ,,naproxen oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,Children's Iron oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,569  User Reviews        ,,Remicade intravenous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,Duofer oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,559  User Reviews        ,,diclofenac oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,iron ps cmplx-vitamin D3 oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,550  User Reviews        ,,methylprednisolone oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,NovaFerrum 125 oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,519  User Reviews        ,,Nexium oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,NovaFerrum 50 oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rxotc,,,,,459  User Reviews        ,,omeprazole oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,Be the first to review it,,ferric carboxymaltose intravenous, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,416  User Reviews        ,,Dexilant oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,iron ps-C-B12-B6-E-folic acid-IF-senna leaf oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,355  User Reviews        ,,Protonix oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,Iro-Plex (iron polysaccharide) oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,299  User Reviews        ,,Kenalog injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,Perfect Iron oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,296  User Reviews        ,,Aciphex oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,Ferretts Carbonyl Iron oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,292  User Reviews        ,,indomethacin oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,"iron,carbonyl-vitamin C-fructooligosaccharides oral", label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,292  User Reviews        ,,Enbrel subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,Chewable Iron oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 otc,,,,,Be the first to review it,,Ferric x-150 oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rxotc,,,,,265  User Reviews        ,,ibuprofen oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,Be the first to review it,,ferric pyrophosphate citrate hemodialysis, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,248  User Reviews        ,,Prilosec oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,Be the first to review it,,Triferic hemodialysis, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,247  User Reviews        ,,etodolac oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,Ferro-Sequels (iron-vit c) oral, label,,,,Anemia in Hemodialysis-Dependent Chronic Kidney Disease
 rx,,,,,247  User Reviews        ,,Humira subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,244  User Reviews        ,,nabumetone oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,203  User Reviews        ,,pantoprazole oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,184  User Reviews        ,,Arthrotec 75 oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,182  User Reviews        ,,Aleve oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,180  User Reviews        ,,Humira Pen subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,177  User Reviews        ,,Prevacid oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,175  User Reviews        ,,Prilosec OTC oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,148  User Reviews        ,,Cimzia subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,121  User Reviews        ,,Medrol (Pak) oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,117  User Reviews        ,,Medrol oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,117  User Reviews        ,,Enbrel SureClick subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,114  User Reviews        ,,piroxicam oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,105  User Reviews        ,,dexamethasone oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,102  User Reviews        ,,Arthrotec 50 oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,102  User Reviews        ,,Depo-Medrol injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rxotc,,,,,95  User Reviews        ,,naproxen sodium oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,87  User Reviews        ,,diclofenac potassium oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,83  User Reviews        ,,Vimovo oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,81  User Reviews        ,,Indocin oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,69  User Reviews        ,,sulindac oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,67  User Reviews        ,,prednisolone oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,66  User Reviews        ,,Simponi subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,63  User Reviews        ,,Naprosyn oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,59  User Reviews        ,,Daypro oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,59  User Reviews        ,,Cytotec oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,59  User Reviews        ,,DexPak 13 Day oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,56  User Reviews        ,,Zipsor oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rxotc,,,,,56  User Reviews        ,,lansoprazole oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,55  User Reviews        ,,oxaprozin oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,53  User Reviews        ,,Feldene oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,52  User Reviews        ,,misoprostol oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,47  User Reviews        ,,Humira Pen Crohn's-Ulc Colitis-Hidr Sup Starter subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,43  User Reviews        ,,Cambia oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,42  User Reviews        ,,Voltaren-XR oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,42  User Reviews        ,,Solu-Medrol intravenous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,39  User Reviews        ,,hydrocortisone oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rxotc,,,,,36  User Reviews        ,,omeprazole magnesium oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,35  User Reviews        ,,Zorvolex oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,33  User Reviews        ,,Cortef oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,29  User Reviews        ,,celecoxib oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,28  User Reviews        ,,ketoprofen oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,77  User Reviews        ,,Procrit injection, label,,,,Anemia Due To Chemotherapy and Radiotherapy Combination
 otc,,,,,26  User Reviews        ,,Advil oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,19  User Reviews        ,,Epogen injection, label,,,,Anemia Due To Chemotherapy and Radiotherapy Combination
 rx,,,,,6  User Reviews        ,,Aranesp (in polysorbate) injection, label,,,,Anemia Due To Chemotherapy and Radiotherapy Combination
 rx,,,,,24  User Reviews        ,,Deltasone oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,5  User Reviews        ,,epoetin alfa injection, label,,,,Anemia Due To Chemotherapy and Radiotherapy Combination
 rx,,,,,1  User Reviews        ,,darbepoetin alfa in polysorbate injection, label,,,,Anemia Due To Chemotherapy and Radiotherapy Combination
 otc,,,,,23  User Reviews        ,,Advil Migraine oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,23  User Reviews        ,,Prevacid 24Hr oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,22  User Reviews        ,,diclofenac-misoprostol oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,22  User Reviews        ,,triamcinolone acetonide injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,21  User Reviews        ,,rabeprazole oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,21  User Reviews        ,,infliximab intravenous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rxotc,,,,,21  User Reviews        ,,esomeprazole magnesium oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,20  User Reviews        ,,cortisone oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,19  User Reviews        ,,methylprednisolone acetate injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,17  User Reviews        ,,Nalfon oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,17  User Reviews        ,,Celestone Soluspan injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,16  User Reviews        ,,Prednisone Intensol oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,15  User Reviews        ,,Advil Liqui-Gel oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,15  User Reviews        ,,dexamethasone sodium phosphate injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,15  User Reviews        ,,Humira Pen Psoriasis Starter Pack subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,14  User Reviews        ,,Orapred ODT oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,14  User Reviews        ,,Cimzia Starter Kit subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,12  User Reviews        ,,Motrin IB oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,12  User Reviews        ,,betamethasone acetate and sodium phosphate injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,11  User Reviews        ,,meclofenamate oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,11  User Reviews        ,,etanercept subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,11  User Reviews        ,,Prevacid SoluTab oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,10  User Reviews        ,,flurbiprofen oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,10  User Reviews        ,,dexlansoprazole oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,9  User Reviews        ,,Anaprox DS oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,8  User Reviews        ,,Acthar H.P. injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,8  User Reviews        ,,Nexium Packet oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,7  User Reviews        ,,Veripred 20 oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,7  User Reviews        ,,Naprelan CR oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,7  User Reviews        ,,Cosentyx subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,6  User Reviews        ,,Dexamethasone Intensol oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,6  User Reviews        ,,adalimumab subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,6  User Reviews        ,,Solu-Medrol (PF) injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,6  User Reviews        ,,Solu-Medrol (PF) intravenous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,5  User Reviews        ,,All Day Pain Relief oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,5  User Reviews        ,,methylprednisolone sodium succ intravenous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,5  User Reviews        ,,certolizumab pegol subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,4  User Reviews        ,,tolmetin oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,4  User Reviews        ,,Ibuprofen IB oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,4  User Reviews        ,,Children's Motrin oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,4  User Reviews        ,,methylprednisolone sodium succ injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,4  User Reviews        ,,DexPak 10 day oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,4  User Reviews        ,,Cimzia Powder for Reconstitution subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,4  User Reviews        ,,Rayos oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,4  User Reviews        ,,Nexium 24HR oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,3  User Reviews        ,,Midol (naproxen) oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,3  User Reviews        ,,Vivlodex oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,3  User Reviews        ,,Solu-Cortef injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,3  User Reviews        ,,prednisolone sodium phosphate oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,3  User Reviews        ,,Pediapred oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,3  User Reviews        ,,Millipred oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,2  User Reviews        ,,fenoprofen oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,2  User Reviews        ,,Mediproxen oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,2  User Reviews        ,,Wal-Profen oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,2  User Reviews        ,,diclofenac submicronized oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,2  User Reviews        ,,hydrocortisone sodium succinate injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,2  User Reviews        ,,dexamethasone sodium phosphate (PF) injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,2  User Reviews        ,,methylprednisolone sod succ (PF) intravenous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,2  User Reviews        ,,naproxen-esomeprazole magnesium oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,2  User Reviews        ,,DexPak 6 Day oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,2  User Reviews        ,,Cosentyx Pen (2 Pens) subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,1  User Reviews        ,,Provil oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,1  User Reviews        ,,Children's Advil oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,1  User Reviews        ,,Children's Ibuprofen oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,1  User Reviews        ,,Flanax (naproxen) oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,1  User Reviews        ,,Tivorbex oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,1  User Reviews        ,,EC-Naprosyn oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,1  User Reviews        ,,corticotropin injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,1  User Reviews        ,,A-Hydrocort injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,1  User Reviews        ,,Indocin rectal, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,1  User Reviews        ,,Millipred DP oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,1  User Reviews        ,,golimumab subcutaneous, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,1  User Reviews        ,,methylprednisolone sod succ (PF) injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,1  User Reviews        ,,hydrocortisone sod succinate (PF) injection, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,1  User Reviews        ,,Heartburn Treatment 24 Hour oral, label,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 otc,,,,,Be the first to review it,,I-Prin oral, offlabel,,,,Ankylosing Spondylitis and High Risk of Developing Gastric Ulcers
 rx,,,,,77  User Reviews        ,,Procrit injection, label,,,,Anemia caused by Zidovudine
